,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
2320,2016-06-22,shot,20,birmingham,AL,attack,fleeing,False,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
2358,2016-06-09,shot,34,birmingham,AL,attack,fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
3660,2015-02-20,shot,77,birmingham,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
4441,2014-05-10,Gunshot,32,birmingham,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
4446,2014-05-09,Gunshot,21,birmingham,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,birmingham,AL,birmingham city,31061,birmingham,Birmingham city,0,0.73,0,0.01,0.04,100.5,Birmingham city,85.1
3946,2014-11-03,Gunshot,28,blountsville,AL,,,,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,blountsville,AL,blountsville town,30152,blountsville,Blountsville town,0.01,0.01,0.01,0,0.15,104.7,Blountsville town,73.1
2480,2016-04-19,shot,38,brooksville,AL,attack,fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,brooksville,,,,,,,,,,,,,
241,2018-09-08,shot,63,citronelle,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,citronelle,AL,citronelle city,48125,citronelle,Citronelle city,0.01,0.2,0.05,0.01,0.03,98.9,Citronelle city,82.5
5020,2013-09-26,Gunshot,34,citronelle,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,citronelle,AL,citronelle city,48125,citronelle,Citronelle city,0.01,0.2,0.05,0.01,0.03,98.9,Citronelle city,82.5
2728,2016-01-23,shot,43,clanton,AL,no_attack,Not fleeing,True,20.65,40577.31,80.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,clanton,AL,clanton city,39823,clanton,Clanton city,0.01,0.19,0,0.01,0.06,100.89999999999999,Clanton city,76.8
