,date,age,city,state,threat_level,flee,body_camera,gender,race,armed,signs_of_mental_illness,Age_range,daysofweek,year,Median Income,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs,poverty_rate,month
739,2017-10-01,38,st. louis,MO,no_threat,not_fleeing,False,Male,W,armed,True,36 - 49,Sunday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
740,2017-08-22,30,st. louis,MO,threat,not_fleeing,False,Female,B,unarmed,False,20 - 35,Tuesday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,August
741,2017-07-24,31,st. louis,MO,threat,flee,False,Male,W,armed,True,20 - 35,Monday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,July
742,2017-07-20,27,st. louis,MO,threat,flee,False,Male,B,unarmed,False,20 - 35,Thursday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,July
743,2017-06-07,21,st. louis,MO,threat,not_fleeing,False,Male,W,armed,False,20 - 35,Wednesday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,June
744,2017-05-26,33,st. louis,MO,threat,not_fleeing,False,Male,W,armed,True,20 - 35,Friday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,May
745,2017-05-10,50,st. louis,MO,threat,not_fleeing,False,Female,B,unarmed,False,50 - 64,Wednesday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,May
746,2017-02-21,63,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Tuesday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
747,2017-01-09,21,st. louis,MO,threat,flee,False,Male,B,unarmed,False,20 - 35,Monday,2017,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,January
748,2016-11-21,19,st. louis,MO,threat,flee,False,Male,B,unarmed,False,13 - 19,Monday,2016,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,November
749,2016-09-02,38,st. louis,MO,threat,flee,False,Male,B,unarmed,False,36 - 49,Friday,2016,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,September
750,2016-04-19,15,st. louis,MO,threat,flee,False,Male,B,unarmed,False,13 - 19,Tuesday,2016,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,April
751,2016-01-17,52,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Sunday,2016,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,January
752,2015-12-05,61,st. louis,MO,threat,not_fleeing,False,Female,W,armed,False,50 - 64,Saturday,2015,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,December
753,2015-08-19,18,st. louis,MO,threat,flee,False,Male,B,unarmed,False,13 - 19,Wednesday,2015,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,August
754,2015-02-03,23,st. louis,MO,threat,flee,False,Male,B,unarmed,False,20 - 35,Tuesday,2015,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
755,2015-01-21,19,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,13 - 19,Wednesday,2015,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,January
756,2014-12-19,28,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Friday,2014,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,December
757,2014-10-08,18,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,13 - 19,Wednesday,2014,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
758,2014-08-19,25,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,True,20 - 35,Tuesday,2014,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,August
759,2014-02-12,27,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2014,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,February
760,2013-10-25,34,st. louis,MO,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Friday,2013,35599.0,0.44,0.49,0.0,0.03,0.04,84.1,27.1,October
